DurationMonth,CreditAmount,Age,ResidenceSince,StatusAccount,CreditHistory,Purpose,SavingsAccount,EmploymentSince,StatusAndSex,Guarantors,Property,InstallmentPlans,Housing,Job,Telephone,ForeignWorker,Customer,NCredits,NPeopleMain,InstallmentRate,index
60,12537,23,3.0,A12, A33, A40, A61, A73, A93, A101, A123, A143, A152, A173, A192, A201,1,1.0,1,4,43
24,1195,45,4.0,A14, A32, A49, A65, A75, A93, A101, A122, A143, A152, A173, A192, A201,1,1.0,1,4,44
8,2038,39,4.0,A14, A32, A46, A61, A75, A93, A101, A124, A143, A153, A173, A191, A201,1,1.0,1,4,45
48,8689,37,3.0,A12, A34, A42, A61, A71, A93, A101, A122, A143, A152, A174, A192, A201,1,1.0,1,1,46
6,309,63,2.0,A14, A34, A43, A61, A75, A93, A101, A121, A143, A152, A173, A191, A201,1,2.0,1,4,47
12,684,43,4.0,A14, A34, A43, A61, A75, A93, A101, A122, A143, A152, A173, A191, A201,1,2.0,1,3,48
21,3987,25,2.0,A12, A32, A42, A61, A72, A94, A101, A121, A143, A152, A173, A191, A201,1,1.0,1,4,49
16,1398,35,3.0,A11, A31, A46, A61, A71, A93, A102, A122, A142, A152, A173, A191, A201,2,3.0,1,4,50
6,1272,27,1.0,A12, A31, A46, A61, A71, A92, A101, A124, A141, A152, A174, A192, A201,1,1.0,1,4,51
6,2052,21,1.0,A12, A32, A40, A61, A73, A92, A101, A122, A143, A152, A173, A191, A201,2,1.0,1,4,52
12,394,33,4.0,A14, A34, A40, A64, A75, A93, A101, A123, A143, A152, A173, A192, A201,1,2.0,1,4,53
12,4081,38,2.0,A11, A32, A40, A65, A73, A93, A102, A122, A143, A153, A172, A192, A201,1,1.0,1,1,54
18,765,25,2.0,A14, A32, A40, A65, A73, A92, A101, A121, A143, A152, A173, A191, A201,1,1.0,1,4,55
40,973,41,4.0,A14, A34, A46, A64, A73, A93, A101, A124, A143, A152, A173, A192, A201,1,1.0,1,4,56
36,11835,35,2.0,A14, A34, A40, A61, A73, A93, A102, A122, A143, A152, A173, A191, A201,1,2.0,1,1,57
10,2304,22,4.0,A11, A32, A42, A61, A72, A92, A101, A123, A143, A151, A173, A191, A201,1,1.0,1,4,58
12,1235,54,4.0,A14, A34, A40, A61, A75, A93, A101, A123, A143, A152, A174, A192, A201,1,1.0,1,4,59
24,3067,35,4.0,A12, A33, A49, A64, A73, A93, A101, A121, A142, A153, A173, A192, A201,1,3.0,1,2,60
36,1213,26,2.0,A14, A34, A43, A61, A75, A93, A101, A123, A143, A152, A172, A191, A201,1,2.0,1,4,61
36,6759,34,4.0,A11, A34, A46, A61, A75, A93, A102, A124, A143, A152, A173, A191, A201,2,2.0,1,2,62
21,1529,21,4.0,A11, A34, A46, A61, A75, A93, A101, A123, A143, A152, A173, A191, A201,2,2.0,1,4,63
24,4890,38,2.0,A11, A32, A42, A61, A72, A92, A101, A121, A143, A151, A173, A191, A201,2,1.0,1,3,64
48,8275,21,2.0,A14, A32, A41, A63, A73, A93, A101, A123, A142, A152, A173, A191, A201,1,1.0,1,1,65
6,1412,23,4.0,A14, A32, A42, A65, A73, A93, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,2,66
24,2641,24,2.0,A11, A32, A40, A61, A72, A93, A101, A123, A143, A152, A173, A191, A201,2,2.0,1,3,67
12,3576,20,1.0,A12, A33, A49, A62, A73, A92, A101, A121, A143, A152, A173, A191, A201,1,1.0,1,4,68
36,5183,53,4.0,A12, A32, A40, A62, A73, A93, A101, A124, A143, A152, A172, A192, A201,1,1.0,1,2,69
24,3533,22,4.0,A14, A32, A43, A61, A72, A92, A101, A123, A143, A152, A173, A192, A201,1,1.0,1,4,70
36,3003,33,4.0,A12, A32, A43, A61, A73, A93, A103, A122, A143, A152, A173, A192, A201,1,1.0,1,1,71
18,3518,33,3.0,A14, A32, A40, A61, A74, A93, A101, A123, A143, A152, A173, A192, A201,1,1.0,1,3,72
30,4094,45,4.0,A12, A32, A46, A61, A75, A93, A101, A124, A143, A151, A173, A191, A201,2,1.0,1,4,73
30,1412,31,4.0,A12, A32, A43, A62, A75, A92, A101, A122, A143, A152, A172, A191, A201,1,1.0,1,4,74
15,4510,26,4.0,A14, A33, A49, A61, A71, A93, A101, A123, A143, A152, A174, A192, A201,1,1.0,1,4,75
31,7214,29,2.0,A14, A33, A46, A65, A73, A93, A102, A122, A143, A152, A173, A191, A201,1,1.0,1,4,76
18,719,34,4.0,A14, A32, A43, A61, A75, A94, A101, A121, A143, A152, A173, A192, A201,1,1.0,1,4,77
18,4066,29,1.0,A12, A32, A43, A61, A73, A94, A102, A122, A143, A152, A173, A191, A201,2,1.0,1,3,78
11,1857,27,2.0,A14, A34, A42, A65, A73, A93, A101, A122, A143, A152, A172, A192, A201,1,2.0,2,1,79
24,438,43,2.0,A14, A32, A43, A61, A73, A93, A101, A123, A143, A152, A172, A191, A201,1,1.0,1,2,80
10,366,25,4.0,A14, A34, A40, A63, A75, A93, A101, A123, A143, A152, A173, A192, A201,1,1.0,1,4,81
21,6772,28,2.0,A14, A32, A40, A61, A73, A93, A101, A122, A143, A152, A173, A191, A201,1,1.0,1,1,82
48,7580,23,2.0,A14, A33, A49, A61, A73, A93, A101, A123, A142, A152, A173, A191, A201,1,1.0,1,2,83
9,1260,37,2.0,A11, A34, A42, A61, A73, A92, A102, A122, A143, A152, A172, A191, A201,1,2.0,1,3,84
9,1492,27,1.0,A14, A32, A43, A61, A72, A93, A101, A123, A143, A152, A173, A191, A201,1,2.0,1,1,85
7,788,66,4.0,A11, A32, A42, A61, A73, A93, A101, A122, A143, A152, A172, A191, A201,1,1.0,1,4,86
21,722,26,2.0,A14, A32, A49, A61, A75, A93, A101, A121, A142, A152, A172, A191, A201,1,1.0,2,4,87
4,292,51,2.0,A11, A34, A40, A61, A73, A93, A101, A121, A143, A152, A172, A191, A201,1,2.0,1,2,88
24,12820,37,3.0,A12, A34, A43, A61, A74, A92, A101, A123, A143, A152, A174, A191, A201,1,2.0,1,1,89
10,2605,47,2.0,A14, A32, A41, A61, A73, A93, A101, A123, A143, A151, A173, A191, A201,1,1.0,1,4,90
12,692,28,4.0,A11, A32, A42, A61, A73, A93, A101, A123, A143, A151, A173, A191, A201,1,1.0,1,4,91
6,428,30,1.0,A14, A34, A40, A61, A72, A92, A101, A122, A143, A152, A173, A191, A201,1,2.0,1,4,92
12,2132,22,1.0,A14, A34, A43, A61, A73, A92, A101, A123, A143, A152, A173, A191, A201,1,2.0,1,2,93
10,1555,25,2.0,A12, A32, A40, A61, A71, A93, A101, A123, A143, A152, A174, A192, A201,2,1.0,1,2,94
36,2107,50,3.0,A12, A32, A40, A61, A74, A93, A102, A123, A143, A152, A174, A192, A201,2,1.0,1,2,95
6,1287,32,1.0,A11, A32, A42, A61, A73, A93, A101, A122, A143, A151, A173, A191, A201,1,1.0,1,2,96
12,2744,20,2.0,A12, A32, A43, A61, A73, A93, A101, A123, A143, A152, A173, A192, A201,1,1.0,1,3,97
12,2174,24,2.0,A11, A34, A40, A61, A73, A92, A102, A121, A143, A152, A173, A191, A201,1,2.0,1,2,98
48,1861,23,4.0,A14, A34, A49, A64, A73, A92, A101, A121, A142, A152, A173, A191, A201,1,2.0,1,4,99
8,905,24,4.0,A11, A34, A42, A61, A74, A92, A101, A122, A143, A152, A173, A191, A201,1,2.0,1,3,100
12,1378,39,3.0,A11, A34, A42, A61, A72, A93, A101, A122, A143, A152, A173, A191, A201,1,1.0,1,1,101
12,302,19,4.0,A14, A32, A42, A61, A72, A92, A101, A123, A143, A151, A173, A191, A201,2,1.0,1,2,102
6,2304,25,2.0,A12, A31, A46, A65, A71, A93, A101, A121, A142, A152, A174, A192, A201,2,1.0,1,4,103
12,2397,19,1.0,A14, A34, A43, A61, A73, A92, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,2,104
6,254,20,1.0,A11, A32, A40, A61, A74, A93, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,4,105
24,3113,41,2.0,A11, A31, A410, A63, A75, A93, A102, A123, A142, A152, A173, A192, A201,2,3.0,2,3,106
12,1006,49,4.0,A11, A32, A43, A61, A75, A93, A101, A123, A143, A152, A173, A192, A201,1,2.0,1,3,107
11,3379,24,4.0,A14, A32, A42, A61, A72, A93, A101, A122, A143, A151, A173, A192, A201,1,1.0,1,1,108
12,6301,31,1.0,A12, A34, A43, A61, A72, A93, A101, A123, A143, A152, A173, A191, A201,1,2.0,1,1,109
36,2294,31,2.0,A14, A31, A42, A61, A75, A93, A102, A123, A142, A152, A172, A191, A201,2,2.0,1,2,110
60,17454,27,3.0,A12, A32, A43, A61, A74, A93, A101, A123, A143, A152, A173, A192, A201,1,1.0,1,1,111
48,3029,26,2.0,A14, A34, A45, A64, A75, A93, A101, A121, A142, A152, A173, A192, A201,1,2.0,1,2,112
6,935,49,2.0,A11, A32, A40, A61, A73, A92, A101, A121, A143, A152, A173, A191, A201,1,1.0,1,3,113
18,1446,28,2.0,A14, A32, A43, A65, A73, A92, A101, A123, A143, A152, A173, A192, A201,2,2.0,1,2,114
10,1350,30,2.0,A11, A34, A40, A61, A73, A92, A102, A122, A143, A152, A173, A191, A202,1,2.0,2,2,115
24,1339,19,1.0,A12, A32, A40, A61, A74, A92, A101, A121, A143, A152, A173, A191, A201,2,1.0,1,4,116
10,2843,29,2.0,A12, A32, A46, A65, A73, A92, A102, A121, A143, A152, A173, A191, A201,2,1.0,1,3,117
24,4401,27,3.0,A12, A32, A43, A61, A74, A93, A101, A123, A143, A152, A173, A192, A201,1,1.0,2,2,118
15,971,20,2.0,A14, A32, A43, A61, A73, A93, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,4,119
6,4373,30,2.0,A14, A32, A40, A61, A73, A93, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,4,120
6,904,66,1.0,A14, A32, A40, A61, A71, A93, A101, A122, A143, A152, A173, A191, A201,1,1.0,1,4,121
36,3320,36,2.0,A11, A32, A42, A61, A75, A93, A102, A122, A143, A151, A173, A191, A201,2,1.0,1,4,122
6,3806,29,2.0,A12, A32, A40, A61, A73, A93, A102, A121, A143, A152, A173, A191, A201,1,1.0,2,2,123
11,1340,41,4.0,A14, A34, A42, A61, A75, A93, A101, A122, A143, A152, A173, A191, A201,1,2.0,1,4,124
10,4751,25,4.0,A12, A32, A42, A65, A73, A92, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,2,125
15,3857,41,4.0,A11, A34, A46, A65, A75, A93, A101, A124, A143, A153, A173, A191, A201,2,2.0,1,3,126
18,1215,27,2.0,A14, A34, A40, A64, A73, A93, A101, A122, A143, A152, A173, A191, A201,1,2.0,1,4,127
12,1465,55,2.0,A12, A32, A40, A61, A73, A92, A101, A121, A143, A152, A174, A191, A201,1,1.0,1,1,128
15,4137,32,2.0,A14, A32, A40, A64, A73, A93, A102, A121, A143, A152, A173, A192, A202,1,3.0,1,3,129
6,801,54,4.0,A11, A32, A46, A61, A73, A93, A101, A122, A143, A152, A172, A191, A201,2,1.0,1,4,130
6,1168,51,1.0,A11, A32, A40, A61, A73, A92, A102, A122, A143, A152, A174, A192, A201,1,1.0,1,3,131
24,3433,34,4.0,A14, A34, A46, A62, A75, A93, A101, A124, A143, A151, A173, A191, A201,2,2.0,1,4,132
7,698,37,2.0,A14, A32, A43, A61, A73, A94, A101, A121, A143, A152, A172, A191, A201,1,1.0,1,4,133
6,647,22,2.0,A14, A32, A40, A61, A72, A92, A101, A123, A143, A151, A173, A191, A201,1,1.0,1,4,134
4,440,59,1.0,A14, A32, A43, A61, A73, A92, A101, A121, A143, A152, A173, A191, A201,1,1.0,1,3,135
10,4814,29,4.0,A14, A34, A46, A61, A71, A93, A101, A124, A141, A153, A174, A192, A201,1,1.0,1,2,136
18,2482,47,2.0,A14, A34, A41, A61, A75, A93, A101, A122, A142, A152, A173, A192, A201,2,2.0,1,4,137
11,1258,35,4.0,A14, A34, A49, A65, A74, A93, A101, A121, A143, A152, A172, A192, A201,1,2.0,2,4,138
9,586,65,4.0,A14, A32, A43, A65, A75, A93, A101, A121, A141, A152, A173, A191, A201,1,1.0,1,4,139
48,3987,50,2.0,A12, A32, A42, A65, A74, A93, A101, A121, A143, A152, A173, A191, A201,2,1.0,1,4,140
9,1954,35,2.0,A14, A32, A40, A63, A73, A93, A101, A121, A143, A151, A173, A191, A201,1,1.0,1,3,141
24,1264,28,2.0,A11, A34, A42, A65, A75, A93, A101, A121, A143, A152, A173, A192, A201,1,1.0,1,4,142
30,1585,26,3.0,A12, A31, A40, A61, A73, A94, A102, A122, A141, A152, A173, A191, A201,1,1.0,1,2,143
6,440,19,2.0,A11, A32, A42, A61, A73, A92, A101, A123, A143, A151, A173, A191, A201,2,1.0,1,2,144
30,1586,24,2.0,A11, A34, A40, A61, A73, A94, A102, A123, A143, A151, A174, A191, A201,2,1.0,1,4,145
12,1741,38,2.0,A14, A34, A49, A64, A74, A93, A101, A123, A142, A152, A173, A192, A201,1,2.0,1,3,146
9,2320,27,1.0,A14, A32, A40, A61, A72, A92, A101, A121, A143, A152, A173, A191, A201,1,1.0,1,4,147
21,4521,26,2.0,A12, A33, A49, A61, A71, A93, A101, A122, A142, A152, A174, A192, A201,2,1.0,1,2,148
9,630,31,2.0,A11, A32, A42, A61, A72, A92, A101, A123, A143, A151, A173, A191, A201,2,1.0,1,4,149
36,6055,31,4.0,A12, A34, A46, A61, A75, A92, A101, A124, A141, A151, A173, A191, A201,2,2.0,1,4,150
60,3373,34,2.0,A11, A32, A43, A61, A72, A92, A101, A123, A143, A152, A173, A192, A201,2,1.0,1,1,151
31,5804,34,2.0,A14, A34, A49, A65, A72, A92, A101, A123, A142, A151, A173, A192, A201,2,2.0,1,3,152
12,3160,29,1.0,A12, A32, A43, A61, A72, A93, A101, A121, A143, A152, A172, A191, A201,2,1.0,2,1,153
6,7945,22,4.0,A14, A32, A49, A62, A72, A93, A101, A122, A143, A152, A173, A191, A201,1,1.0,1,1,154
48,4495,35,2.0,A11, A32, A40, A61, A72, A93, A101, A123, A143, A152, A172, A192, A201,2,1.0,1,4,155
12,346,24,2.0,A12, A32, A43, A61, A72, A92, A101, A123, A143, A152, A172, A192, A201,2,1.0,1,4,156
18,2495,25,2.0,A14, A34, A43, A61, A72, A94, A101, A123, A142, A152, A173, A191, A201,2,2.0,1,4,157
10,692,74,2.0,A11, A32, A42, A61, A75, A93, A101, A123, A143, A152, A173, A192, A201,1,1.0,1,4,158
48,5353,58,4.0,A12, A32, A40, A61, A75, A93, A101, A123, A143, A152, A174, A192, A201,1,1.0,2,4,159
18,2698,25,2.0,A14, A32, A42, A61, A72, A92, A101, A122, A143, A152, A173, A191, A201,2,1.0,1,4,160
24,9112,27,4.0,A14, A34, A41, A65, A73, A92, A101, A122, A143, A151, A174, A192, A201,1,1.0,1,2,161
60,8997,27,2.0,A12, A32, A43, A61, A73, A94, A101, A123, A143, A152, A173, A192, A201,2,1.0,1,4,162
46,2322,28,3.0,A12, A32, A40, A61, A74, A94, A101, A123, A143, A152, A172, A191, A201,1,1.0,1,2,163
12,8557,23,1.0,A14, A32, A49, A61, A74, A93, A101, A122, A142, A152, A173, A191, A201,1,1.0,1,2,164
12,1167,34,4.0,A14, A32, A43, A61, A72, A92, A101, A122, A141, A152, A173, A191, A201,1,1.0,2,4,165
24,747,23,3.0,A11, A32, A43, A61, A73, A94, A101, A122, A143, A152, A173, A191, A201,1,1.0,1,4,166
29,6651,25,2.0,A12, A32, A46, A65, A71, A92, A102, A122, A143, A152, A174, A192, A201,2,1.0,1,1,167
20,3394,29,2.0,A14, A32, A43, A61, A73, A92, A101, A123, A143, A152, A173, A192, A201,1,2.0,1,2,168
34,7651,38,4.0,A14, A33, A49, A64, A73, A93, A101, A121, A142, A152, A173, A191, A201,1,3.0,1,4,169
18,2267,36,4.0,A12, A34, A43, A61, A74, A92, A101, A121, A143, A152, A172, A192, A201,1,1.0,1,4,170
48,778,36,4.0,A11, A32, A40, A61, A74, A93, A101, A123, A143, A152, A173, A191, A201,2,1.0,1,4,171
12,1540,22,2.0,A14, A32, A43, A61, A72, A92, A101, A122, A143, A152, A173, A191, A201,2,1.0,1,4,172
20,1247,33,2.0,A12, A34, A43, A61, A75, A93, A103, A123, A143, A152, A173, A191, A201,1,2.0,1,4,173
12,1684,38,2.0,A14, A34, A40, A61, A71, A93, A101, A122, A143, A152, A174, A192, A201,1,1.0,1,4,174
15,820,46,2.0,A14, A33, A40, A61, A73, A92, A101, A121, A143, A152, A173, A191, A201,1,2.0,1,4,175
8,1285,38,3.0,A11, A34, A46, A61, A74, A92, A102, A121, A141, A151, A173, A191, A201,1,1.0,1,2,176
46,1057,32,3.0,A11, A34, A42, A65, A74, A93, A102, A124, A143, A153, A173, A192, A201,1,1.0,1,4,177
6,1306,30,1.0,A14, A32, A43, A65, A73, A93, A101, A121, A143, A152, A173, A192, A201,1,1.0,1,4,178
8,935,32,4.0,A11, A32, A40, A61, A75, A93, A101, A123, A141, A152, A173, A191, A201,1,1.0,1,4,179
24,455,19,4.0,A12, A32, A43, A61, A73, A94, A101, A121, A143, A151, A173, A191, A201,1,1.0,1,4,180
9,4459,31,4.0,A11, A32, A46, A65, A73, A92, A101, A122, A143, A152, A173, A191, A201,2,1.0,1,4,181
24,2033,19,2.0,A14, A34, A43, A61, A73, A92, A101, A123, A143, A152, A173, A192, A201,2,1.0,1,4,182
18,2218,35,2.0,A12, A34, A45, A64, A75, A94, A101, A121, A142, A152, A173, A191, A201,1,2.0,1,4,183
21,5404,25,2.0,A14, A32, A49, A61, A73, A93, A101, A123, A142, A152, A173, A192, A201,2,2.0,1,2,184
44,3560,24,4.0,A12, A32, A43, A61, A73, A93, A101, A123, A143, A152, A173, A192, A201,1,1.0,1,3,185
15,1117,49,4.0,A11, A34, A40, A65, A75, A93, A101, A124, A143, A153, A172, A191, A201,1,2.0,2,4,186
24,6313,39,2.0,A12, A34, A46, A61, A71, A93, A101, A123, A143, A152, A174, A192, A201,2,2.0,1,4,187
12,10431,25,4.0,A14, A32, A40, A61, A74, A92, A102, A122, A143, A151, A173, A192, A201,1,1.0,1,2,188
36,1078,44,4.0,A14, A33, A49, A64, A73, A93, A101, A122, A143, A152, A173, A192, A201,1,2.0,1,4,189
6,734,32,1.0,A14, A34, A43, A64, A74, A92, A101, A122, A143, A152, A173, A191, A201,1,2.0,1,3,190
27,661,43,3.0,A12, A32, A43, A61, A75, A94, A101, A121, A143, A152, A173, A191, A201,1,1.0,1,4,191
36,11734,26,2.0,A14, A32, A49, A61, A73, A93, A101, A121, A143, A152, A173, A192, A201,1,1.0,1,1,192
6,442,29,4.0,A14, A34, A43, A61, A75, A93, A101, A121, A143, A152, A172, A191, A201,1,2.0,2,4,193
6,1902,62,1.0,A11, A32, A43, A61, A72, A93, A102, A121, A143, A152, A173, A191, A201,1,1.0,1,4,194
6,1477,32,2.0,A14, A32, A43, A61, A73, A93, A101, A121, A143, A152, A173, A191, A201,1,1.0,1,4,195
18,1087,40,4.0,A12, A32, A41, A61, A73, A93, A101, A121, A143, A152, A172, A192, A201,1,2.0,1,4,196
30,6035,40,4.0,A12, A32, A46, A63, A75, A92, A101, A124, A143, A153, A174, A192, A201,1,1.0,1,4,197
9,1070,26,4.0,A12, A32, A42, A61, A72, A93, A101, A123, A143, A152, A173, A191, A201,1,2.0,1,3,198
6,3090,28,2.0,A12, A32, A40, A65, A72, A93, A101, A121, A143, A151, A172, A191, A202,1,1.0,1,1,199
21,687,26,2.0,A14, A32, A42, A63, A73, A93, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,4,200
36,1312,26,2.0,A14, A34, A43, A64, A75, A93, A101, A121, A143, A152, A173, A191, A201,1,2.0,1,4,201
24,1194,29,2.0,A14, A34, A43, A65, A75, A93, A101, A121, A142, A152, A172, A192, A201,1,2.0,1,3,202
12,644,33,2.0,A12, A32, A43, A61, A74, A94, A103, A121, A143, A152, A172, A191, A201,1,1.0,1,4,203
22,4830,53,4.0,A12, A32, A40, A61, A75, A93, A101, A122, A143, A152, A174, A191, A201,1,1.0,2,1,204
11,2492,38,2.0,A14, A33, A49, A64, A75, A93, A101, A121, A142, A152, A172, A191, A201,1,3.0,2,1,205
12,281,50,3.0,A11, A33, A46, A61, A75, A94, A101, A122, A142, A152, A173, A191, A201,2,2.0,1,4,206
36,1235,28,2.0,A11, A32, A43, A61, A74, A93, A101, A123, A143, A152, A173, A192, A201,1,1.0,2,3,207
6,255,23,4.0,A14, A32, A40, A65, A75, A92, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,4,208
8,2030,46,1.0,A12, A34, A40, A61, A74, A93, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,2,209
36,4585,22,2.0,A14, A32, A43, A61, A73, A92, A101, A123, A143, A152, A172, A192, A201,1,1.0,1,3,210
6,810,22,4.0,A12, A32, A42, A65, A75, A92, A101, A122, A143, A152, A173, A192, A201,1,1.0,1,1,211
12,1640,19,2.0,A14, A32, A42, A61, A73, A92, A101, A122, A143, A152, A173, A191, A201,1,1.0,1,4,212
24,5742,23,1.0,A11, A32, A42, A61, A72, A92, A101, A123, A143, A151, A173, A191, A201,2,1.0,1,2,213
12,3157,26,2.0,A12, A32, A40, A61, A71, A93, A101, A122, A143, A152, A174, A191, A201,2,2.0,1,2,214
12,253,25,4.0,A14, A34, A43, A64, A75, A93, A101, A121, A143, A152, A173, A192, A201,1,2.0,1,4,215
24,2608,24,2.0,A14, A32, A43, A61, A73, A92, A101, A121, A143, A152, A173, A192, A201,2,1.0,1,4,216
24,1115,21,2.0,A11, A34, A40, A64, A75, A92, A101, A121, A143, A152, A173, A191, A201,1,2.0,1,4,217
18,766,45,4.0,A12, A32, A43, A61, A75, A93, A101, A121, A143, A151, A173, A191, A201,1,1.0,1,4,218
4,2729,49,2.0,A11, A34, A43, A61, A73, A93, A103, A121, A143, A152, A172, A191, A201,1,1.0,1,1,219
36,4560,25,1.0,A12, A32, A40, A61, A74, A92, A102, A123, A141, A152, A173, A192, A201,1,1.0,1,1,220
9,3719,35,2.0,A12, A32, A42, A61, A71, A92, A101, A122, A143, A152, A174, A192, A201,2,1.0,1,4,221
